number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
74,4,12,4,19,"On display, as a painting",8,WALLHUNG
75,8,12,8,16,Tapped,5,CHOSE
76,9,12,9,14,Feel bad,3,AIL
77,15,12,15,14,Travel through time?,3,AGE
78,19,12,19,16,Easily persuaded sort,5,SOFTY
79,20,12,20,15,Things pandas have 20 of,4,TOES
82,7,13,7,20,Chew the fat,8,CHITCHAT
83,13,13,13,15,Jubilant cheer,3,OLE
84,14,13,14,16,"Options for ""bee's knees"" cocktails",4,GINS
87,5,14,5,17,Alternative to Levi's,4,LEES
90,17,14,17,20,"End of a flight, in two senses",7,LANDING
92,6,15,6,19,"Serves, with ""on""",5,WAITS
93,11,15,11,18,Nickname for mom's mom,4,GRAM
95,0,16,0,20,Grind,5,GNASH
96,1,16,1,20,Brought about,5,LEDTO
97,2,16,2,20,"""Well, shucks!""",5,AWMAN
98,3,16,3,20,"Contacting on Twitter, for short",5,DMING
99,9,16,9,20,Compadre,5,HOMIE
100,10,16,10,20,Journalist in a field,5,EMBED
102,15,16,15,20,Ball game?,5,LOTTO
103,16,16,16,20,Like the smell of burnt rubber,5,ACRID
106,12,17,12,19,"Rapper behind the ""King's Disease"" trilogy",3,NAS
107,13,17,13,20,"""Copy,"" to a cat",4,IDIG
111,8,18,8,20,Great Basin people,3,UTE
112,14,18,14,20,D.D.E.'s W.W. II battleground,3,ETO
113,18,18,18,20,"Sci-fi film staple, for short",3,CGI
114,19,18,19,20,White wine aperitif,3,KIR
115,20,18,20,20,"Show with a ""What's Up With That?"" segment, for short",3,SNL
